step	loss
999	1.799394946217537
1999	1.7547986991405486
2999	1.6705532103776932
3999	1.4918897280693053
4999	1.1419735956937074
5999	0.757777658178471
6999	0.317696862727229
7999	0.10261392130040622
8999	0.02889019417478994
9999	0.014534018684114925
10999	0.007992936459905649
11999	0.005844061919936848
12999	0.004164046943737503
13999	0.003283589247913824
14999	0.0027223971795131093
15999	0.002364108728771498
16999	0.001916950112582981
17999	0.0016925857247804287
18999	0.001479255706001368
19999	0.001318027144668008
