step	loss
999	1.776466278076172
1999	1.6635804203748703
2999	1.4027935616970062
3999	0.7438296223804355
4999	0.19066494241799228
5999	0.042149750999931714
6999	0.018106234499660787
7999	0.009494243956680293
8999	0.00668060769449221
9999	0.004608580206437182
10999	0.0035139138409322184
11999	0.0029166798342193942
12999	0.002403730981912304
13999	0.001999960578070386
14999	0.0017581276527162118
15999	0.0015462963645577474
16999	0.0014079002821781614
17999	0.0011860578055948282
18999	0.0011269358051213202
19999	0.001018573179129362
